email,company_id,name,sent_at,status
customersupport@interiorsfurniture.com,08f05165-d27b-4182-abc3-130f9bd9dae5,"Interiors Jumeirah, Dubai - Luxury Home Furniture & Dcor",2026-07-29 21:16,sent
info@justspectrum.ae,65fa3b1b-b2a2-459b-a6f9-622b3b7ab50c,Just Spectrum - Home & Villa Renovation Expert in Dubai,2026-07-29 21:16,sent
villapaintingexportvillapainti@gmail.com,013eb159-8dc3-4668-9504-07ba5cf3660c,Villa Painting Experts Dubai,2026-07-29 21:16,sent
info@atginteriors.com,e52b23a9-49f5-4fae-8983-7b3bce379d3d,A&T Group Interiors,2026-07-29 21:16,sent
info@immersiondesigns.com,9c3047c4-cec7-46d8-a972-954d5e34976c,Immersion Interior Design LLC,2026-07-29 21:16,sent
info@wedointerior.ae,0e280c3d-3ed6-4ea2-91ab-a0bc8a25794e,WeDo Interior Design & Fit out,2026-07-29 21:16,sent
info@dnmuae.com,69fdfd5f-0f95-48a2-9037-fbad5c2c7e1e,Decor N More LLC,2026-07-29 21:16,sent
info@whitemonde.com,21fb28c1-237e-4b51-bdbb-3f976467f5a2,Whitemonde Interior Designs and Fitouts,2026-07-29 21:16,sent
info@rayfitout.com,8a8d5dbc-3adc-4acd-9d1a-6d7cc690ea09,Ray Fitout Architecture & Interiors,2026-07-29 21:16,sent
info@musedesign.ae,b1ff9d54-828d-4f7a-b2a5-be84e584f43e,Muse Interior Design,2026-07-29 21:16,sent
info@euphoriainteriors.com,41507f7e-16ee-42d4-85ff-a792acd8b046,Euphoria Interiors,2026-07-29 21:16,sent
info@mouhajerdesign.com,4b80edfa-bf60-4964-8927-14f194d13947,Mouhajer International Design and Contracting,2026-07-29 21:16,sent
info@antonovich-group.ae,e947065a-9884-47df-b60d-808e428d5a57,Antonovich Design,2026-07-29 21:16,sent
info@mrcarpentry.com,53cbc141-9591-4ef3-ba66-4622cba91757,Mr.Carpenter Carpentry service,2026-07-29 21:16,sent
support@webador.com,0986c00c-12fb-473e-a3be-da112df71147,Al zelzal Demolition Works L.L.C | Demolition Contractor Dubai,2026-07-29 21:16,sent
info@idxperts.com,40b491ab-0e56-48bd-9c92-973fbec155da,IDX INTERIOR DECORATION LLC,2026-08-06 11:22,sent
info@zxi.ae,54895a70-6cbf-4d72-b9f3-ed0d26845cc0,ZXI Interiors & Contracting LLC,2026-08-06 11:22,sent
info@orsudemolition.com,37b46247-8937-494c-a54c-0d309108d279,"Orsu Demolition Works | Demolition Contractor Dubai, Sharjah, Abu Dhabi, UAE",2026-08-06 11:22,sent
info@falconinterior.com,f065faf6-e0cc-45bc-9e6c-ab9ce32085ee,Falcon Interior Decoration LLC,2026-08-06 11:22,sent
sardarmomalbadshah997@gmail.com,cc0e496a-7fb0-4cdd-b2e3-054f3d2be140,MNC CARPENTERY SERVICES,2026-08-06 11:22,sent
milenabbrandao@gmail.com,76480149-8f37-455b-bc05-4e23b5c945b0,Handyman Dubai,2026-08-06 11:23,sent
info@motifuae.com,2c99a289-f2c2-4a5a-8afe-b4022373e621,Motif Interiors,2026-08-06 11:23,sent
%20admin@villapaintingservicesdubai.ae,e184ea5d-86bb-4f56-9c15-7a03786399d0,1 Villa panting services Dubai,2026-08-06 11:23,sent
sales@zeninteriors.net,2c2a5e51-6a9e-4c66-914a-069117eece4a,Zen Interiors,2026-08-06 11:23,sent
care@interiorcompany.com,f3e27abb-df90-49b7-8132-cb1e205ca707,"Interior Company Design Studio, Dubai",2026-08-06 11:23,sent
enquiry@usbcinteriors.com,079d75ce-c21c-4658-aeec-8f60a67d7b55,USBC Interiors,2026-08-06 11:23,sent
create@designsmith.ae,6268ad86-ff46-4c18-8b70-6ffa823e8021,Designsmith - Fit Out & Construction Company,2026-08-06 11:23,sent
info@algedra.ae,0699bf40-beec-4c6c-8135-2e336c480c9f,Algedra Interior Design,2026-08-06 11:23,sent
info@highbeamcontracting.ae,b398a8b7-7fa8-4281-97d5-9c0460d99e28,High Beam Contracting (HBC),2026-08-06 11:23,sent
info@jumeirahcarpenter.com,9b7db43f-5d9b-49a4-b0ac-50991cba6540,Jumeirah Carpenter,2026-08-06 11:23,sent
